id_account_number,start_date,end_date,invoice_doc_num,request_type,asset_type_name,data_category,access,unique,refresh,total
30314240,2022-09-01,2022-09-30,6650305668,adhoc,"CMO/ABS,ABS/CMO/CMBS/Whole Loan",Credit Risk Capital Structure,,,6.36,6.36
30314240,2022-09-01,2022-09-30,6650305668,adhoc,"CMO/ABS,ABS/CMO/CMBS/Whole Loan",Credit Risk Corporate Structure,,,80.1,80.1
30314240,2022-09-01,2022-09-30,6650305668,adhoc,"CMO/ABS,ABS/CMO/CMBS/Whole Loan",Security Master,,,72.0,72.0
30314240,2022-09-01,2022-09-30,6650305668,adhoc,"CMO/ABS,ABS/CMO/CMBS/Whole Loan",UK MIFI,,,37.5,37.5
30314240,2022-09-01,2022-09-30,6650305668,adhoc,Corporate/Preferred/MoneyMarket,Credit Risk Capital Structure,,,1.59,1.59
30314240,2022-09-01,2022-09-30,6650305668,adhoc,Corporate/Preferred/MoneyMarket,Credit Risk Corporate Structure,,,8.01,8.01
30314240,2022-09-01,2022-09-30,6650305668,adhoc,Corporate/Preferred/MoneyMarket,UK MIFI,,,3.75,3.75
30314240,2022-09-01,2022-09-30,6650305668,adhoc,Options/Futures/FX/Warrants,Credit Risk Corporate Structure,,2.67,0.0,2.67
30314240,2022-09-01,2022-09-30,6650305668,adhoc,Options/Futures/FX/Warrants,Derived - End of Day,0.01,1.59,0.0,1.6
30314240,2022-09-01,2022-09-30,6650305668,adhoc,Options/Futures/FX/Warrants,Pricing - End of Day,0.01,0.42,0.0,0.43
30314240,2022-09-01,2022-09-30,6650305668,adhoc,Options/Futures/FX/Warrants,Pricing - Intraday,,0.31,0.0,0.31
30314240,2022-09-01,2022-09-30,6650305668,adhoc,Options/Futures/FX/Warrants,Security Master,0.01,2.08,0.0,2.09
30314240,2022-09-01,2022-09-30,6650305668,adhoc,Options/Futures/FX/Warrants,UK MIFI,0.04,3.12,0.0,3.16
30314240,2022-09-01,2022-09-30,6650305668,adhoc,Sovereign/Supranational/Agency,Credit Risk Capital Structure,,,1.59,1.59
30314240,2022-09-01,2022-09-30,6650305668,adhoc,Sovereign/Supranational/Agency,Credit Risk Corporate Structure,,,8.01,8.01
30314240,2022-09-01,2022-09-30,6650305668,adhoc,Sovereign/Supranational/Agency,UK MIFI,,,3.75,3.75
30314240,2022-09-01,2022-09-30,6650305668,adhoc,US Government,Credit Risk Capital Structure,,0.53,0.0,0.53
30314240,2022-09-01,2022-09-30,6650305668,adhoc,US Government,Credit Risk Corporate Structure,,2.67,0.0,2.67
30314240,2022-09-01,2022-09-30,6650305668,adhoc,US Government,Derived - End of Day,,0.72,0.0,0.72
30314240,2022-09-01,2022-09-30,6650305668,adhoc,US Government,Security Master,0.0,0.53,0.0,0.53
30314240,2022-09-01,2022-09-30,6650305668,adhoc,US Government,UK MIFI,,1.25,0.0,1.25
30314240,2022-09-01,2022-09-30,6650305668,scheduled,"CMO/ABS,ABS/CMO/CMBS/Whole Loan",Credit Risk Capital Structure,,71.51,0.0,71.51
30314240,2022-09-01,2022-09-30,6650305668,scheduled,"CMO/ABS,ABS/CMO/CMBS/Whole Loan",Credit Risk Corporate Structure,,1781.01,0.0,1781.01
30314240,2022-09-01,2022-09-30,6650305668,scheduled,"CMO/ABS,ABS/CMO/CMBS/Whole Loan",Derived Data,417.17,268.54,0.0,685.71
30314240,2022-09-01,2022-09-30,6650305668,scheduled,"CMO/ABS,ABS/CMO/CMBS/Whole Loan",MiFIR,,239.26,0.0,239.26
30314240,2022-09-01,2022-09-30,6650305668,scheduled,"CMO/ABS,ABS/CMO/CMBS/Whole Loan",Pricing Data,,65.78,0.0,65.78
30314240,2022-09-01,2022-09-30,6650305668,scheduled,"CMO/ABS,ABS/CMO/CMBS/Whole Loan",Security Master,221.71,819.92,0.0,1041.6299999999999
30314240,2022-09-01,2022-09-30,6650305668,scheduled,"CMO/ABS,ABS/CMO/CMBS/Whole Loan",UK MIFI,,239.26,0.0,239.26
30314240,2022-09-01,2022-09-30,6650305668,scheduled,Curve Tenor,Pricing Data,,453.08,0.0,453.08
