id_account_number,start_date,end_date,request_type,asset_class_name,snapshot,ACCESS,HIST,T2,total
30314240,2022-09-01,2022-09-30,Access,NA,NA,130.22,,,130.22
30314240,2022-09-01,2022-09-30,DAILY,Agency CMO Derivatives & Strips,NY4PM,,,196.8,196.8
30314240,2022-09-01,2022-09-30,DAILY,CMBS - Credit Sensitive,NY4PM,,,17.95,17.95
30314240,2022-09-01,2022-09-30,DAILY,CMBS - Non-Credit Sensitive,NY4PM,,,30.51,30.51
30314240,2022-09-01,2022-09-30,DAILY,Complex Structured Products,NY4PM,,,61.5,61.5
30314240,2022-09-01,2022-09-30,DAILY,Consumer ABS - Non-Credit Sensitive,NY4PM,,,4.65,4.65
30314240,2022-09-01,2022-09-30,DAILY,Corporate High Yield,NY4PM,,,1.27,1.27
30314240,2022-09-01,2022-09-30,DAILY,Corporate High Yield,TO4PM,,,17.92,17.92
30314240,2022-09-01,2022-09-30,DAILY,Corporate Investment Grade,TO4PM,,,5.12,5.12
30314240,2022-09-01,2022-09-30,DAILY,Government Agency Bonds,NY4PM,,,0.64,0.64
30314240,2022-09-01,2022-09-30,DAILY,Government Agency Bonds,TO4PM,,,1.28,1.28
30314240,2022-09-01,2022-09-30,DAILY,Non-Agency CMOs,NY4PM,,,1434.78,1434.78
30314240,2022-09-01,2022-09-30,HISTORY_MONTHLY,Sovereign - Developed,NA,,0.17,,0.17
30314240,2022-09-01,2022-09-30,MONTHLY,Corporate Investment Grade,NY4PM,,,0.31,0.31
30314240,2022-09-01,2022-09-30,MONTHLY,Emerging Market Debt - High Yield,NY4PM,,,0.97,0.97
30314240,2022-09-01,2022-09-30,MONTHLY,Sovereign - Emerging,NY4PM,,,0.41,0.41
30314240,2022-09-01,2022-09-30,MONTHLY,US Government,TO3PM,,,0.17,0.17
30395902,2022-09-01,2022-09-30,Access,NA,NA,107.93,,,107.93
30395902,2022-09-01,2022-09-30,DAILY,Agency CMO Derivatives & Strips,NY4PM,,,971.7,971.7
30395902,2022-09-01,2022-09-30,DAILY,Complex Structured Products,NY4PM,,,61.5,61.5
30395902,2022-09-01,2022-09-30,DAILY,Convertible Bonds,LO12PM,,,45.1,45.1
30395902,2022-09-01,2022-09-30,DAILY,Convertible Bonds,NY3PM,,,49.2,49.2
30395902,2022-09-01,2022-09-30,DAILY,Convertible Bonds,NY4PM,,,174.25,174.25
30395902,2022-09-01,2022-09-30,DAILY,Corporate High Yield,LO12PM,,,522.24,522.24
30395902,2022-09-01,2022-09-30,DAILY,Corporate Investment Grade,LO12PM,,,32.0,32.0
30395902,2022-09-01,2022-09-30,DAILY,Corporate Investment Grade,NY3PM,,,171.52,171.52
30395902,2022-09-01,2022-09-30,DAILY,Corporate Investment Grade,TO3PM,,,1.28,1.28
30395902,2022-09-01,2022-09-30,DAILY,Emerging Market Debt - High Yield,NY3PM,,,151.7,151.7
30395902,2022-09-01,2022-09-30,DAILY,Emerging Market Debt - Investment Grade,NY3PM,,,232.96,232.96
30395902,2022-09-01,2022-09-30,DAILY,Emerging Market Debt - Investment Grade,TO5PM,,,5.12,5.12
30395902,2022-09-01,2022-09-30,DAILY,Government Agency Bonds,LO12PM,,,195.84,195.84
30395902,2022-09-01,2022-09-30,DAILY,Government Agency Bonds,NY3PM,,,56.32,56.32
30395902,2022-09-01,2022-09-30,DAILY,International ABS - Credit Sensitive,NY4PM,,,24.6,24.6
30395902,2022-09-01,2022-09-30,DAILY,International ABS - Non-Credit Sensitive,NY4PM,,,12.3,12.3
30395902,2022-09-01,2022-09-30,DAILY,NA,NY4PM,,,21.54,21.54
30395902,2022-09-01,2022-09-30,DAILY,Non-Agency CMOs,NY4PM,,,5121.72,5121.72
30395902,2022-09-01,2022-09-30,DAILY,Sovereign - Developed,LO12PM,,,4.32,4.32
30395902,2022-09-01,2022-09-30,DAILY,Sovereign - Developed,NY3PM,,,23.04,23.04
30395902,2022-09-01,2022-09-30,DAILY,Sovereign - Emerging,LO12PM,,,184.44,184.44
30395902,2022-09-01,2022-09-30,DAILY,Sovereign - Emerging,NY3PM,,,647.28,647.28
30395902,2022-09-01,2022-09-30,DAILY,US Government,NY3PM,,,5.04,5.04
30395902,2022-09-01,2022-09-30,MONTHLY,CMBS - Credit Sensitive,NY4PM,,,37.62,37.62
30395902,2022-09-01,2022-09-30,MONTHLY,CMBS - Non-Credit Sensitive,NY4PM,,,3.4,3.4
30395902,2022-09-01,2022-09-30,MONTHLY,Consumer ABS - Credit Sensitive,NY4PM,,,16.28,16.28
30395902,2022-09-01,2022-09-30,MONTHLY,Consumer ABS - Non-Credit Sensitive,NY4PM,,,14.8,14.8
30395902,2022-09-01,2022-09-30,MONTHLY,Corporate High Yield,LO3PM,,,1.24,1.24
30395902,2022-09-01,2022-09-30,MONTHLY,Corporate High Yield,LO4:15pm,,,6.2,6.2
30395902,2022-09-01,2022-09-30,MONTHLY,Corporate High Yield,NY4PM,,,47.12,47.12
30395902,2022-09-01,2022-09-30,MONTHLY,Corporate High Yield,TO3PM,,,0.62,0.62
30395902,2022-09-01,2022-09-30,MONTHLY,Corporate High Yield,TO5PM,,,3.1,3.1
30395902,2022-09-01,2022-09-30,MONTHLY,Corporate Investment Grade,LO3PM,,,0.93,0.93
30395902,2022-09-01,2022-09-30,MONTHLY,Corporate Investment Grade,LO4:15pm,,,11.47,11.47
30395902,2022-09-01,2022-09-30,MONTHLY,Corporate Investment Grade,NY4PM,,,26.97,26.97
30395902,2022-09-01,2022-09-30,MONTHLY,Corporate Investment Grade,TO4PM,,,0.62,0.62
30395902,2022-09-01,2022-09-30,MONTHLY,Corporate Investment Grade,TO5PM,,,0.31,0.31
30395902,2022-09-01,2022-09-30,MONTHLY,Emerging Market Debt - High Yield,NY4PM,,,199.82,199.82
30395902,2022-09-01,2022-09-30,MONTHLY,Emerging Market Debt - Investment Grade,LO4:15pm,,,1.24,1.24
